Sample,SampleName,AT1G22630,AT1G22620,AT1G22610,Tissue,Ecotype,Genotype,Treatment,Project,TotalReads,UniqueMappedRatio,ReleaseDate
GSM2306289,RS-elf18 Rep2,0,0,0,leaves,Col-0,--,10 ??M elf18,PRJNA342301,58270271,0.0003,5/26/2017
GSM2327831,WT_HC_01,57.35,36.34,0,leaves,Col-0,wild type,high CO2 (HC; 1% CO2),PRJNA344394,102824645,0.7468,10/16/2016
GSM2327832,WT_HC_02,54.61,37,0,leaves,Col-0,wild type,high CO2 (HC; 1% CO2),PRJNA344394,84706373,0.7376,10/16/2016
GSM2327833,WT_HC_03,70.35,36.37,0,leaves,Col-0,wild type,high CO2 (HC; 1% CO2),PRJNA344394,24919506,0.939,10/16/2016
GSM2327834,hpr1_HC_01,64.76,38.5,0,leaves,Col-0,"hpr1-1, T-DNA insertion line",--,PRJNA344394,45550155,0.6568,10/16/2016
GSM2327835,hpr1_HC_02,69.87,37.11,0,leaves,Col-0,"hpr1-1, T-DNA insertion line",--,PRJNA344394,33730720,0.7513,10/16/2016
GSM2327836,shm1_HC_01,64.45,37.62,0,leaves,Col-0,"shm1-2, T-DNA insertion line",--,PRJNA344394,39062150,0.79,10/16/2016
GSM2327837,shm1_HC_02,67.17,37.61,0,leaves,Col-0,"shm1-2, T-DNA insertion line",--,PRJNA344394,32474555,0.7888,10/16/2016
GSM2327838,glyk1_HC_01,52.03,41.23,0,leaves,Col-0,"glyk1-1, T-DNA insertion line",--,PRJNA344394,114586594,0.7235,10/16/2016
GSM2327839,glyk1_HC_02,53.61,42.77,0,leaves,Col-0,"glyk1-1, T-DNA insertion line",--,PRJNA344394,97084730,0.7366,10/16/2016
GSM2327840,pglp1_HC_01,103.41,26.63,0,leaves,Col-0,"pglp1-1, T-DNA insertion line",--,PRJNA344394,11210286,0.7084,10/16/2016
GSM2327841,pglp1_HC_02,81.37,30.39,0,leaves,Col-0,"pglp1-1, T-DNA insertion line",--,PRJNA344394,22134939,0.7373,10/16/2016
GSM2327842,WT_LC_01,64.11,28,0,leaves,Col-0,wild type,Mock,PRJNA344394,26311207,0.9058,10/16/2016
GSM2327843,WT_LC_02,102.87,26.34,0,leaves,Col-0,wild type,Mock,PRJNA344394,12486471,0.709,10/16/2016
GSM2327844,WT_LC_03,71.97,30.99,0,leaves,Col-0,wild type,Mock,PRJNA344394,23527391,0.9408,10/16/2016
GSM2327845,hpr1_LC_01,78.62,27.17,0,leaves,Col-0,"hpr1-1, T-DNA insertion line",--,PRJNA344394,6178023,0.6971,10/16/2016
GSM2327846,hpr1_LC_02,55.95,36.36,0,leaves,Col-0,"hpr1-1, T-DNA insertion line",--,PRJNA344394,114335480,0.7619,10/16/2016
GSM2327847,shm1_LC_01,22.52,37.21,0,leaves,Col-0,"shm1-2, T-DNA insertion line",--,PRJNA344394,204869280,0.8664,10/16/2016
GSM2327848,shm1_LC_02,8.99,40.15,0,leaves,Col-0,"shm1-2, T-DNA insertion line",--,PRJNA344394,76369418,0.8032,10/16/2016
GSM2327849,glyk1_LC_01,23.64,29.67,0,leaves,Col-0,"glyk1-1, T-DNA insertion line",--,PRJNA344394,90147193,0.7745,10/16/2016
GSM2327850,glyk1_LC_02,30.18,26.91,0,leaves,Col-0,"glyk1-1, T-DNA insertion line",--,PRJNA344394,70244789,0.7612,10/16/2016
GSM2327851,pglp1_LC_01,71.45,14.86,0,leaves,Col-0,"pglp1-1, T-DNA insertion line",--,PRJNA344394,17998219,0.5847,10/16/2016
GSM2327852,pglp1_LC_02,64.39,15.94,0,leaves,Col-0,"pglp1-1, T-DNA insertion line",--,PRJNA344394,22165591,0.6905,10/16/2016
GSM2327985,JFC001: Col-0_HighP_noTreatment_expA-rep1,46.15,24.77,0,seedlings,Col-0,Col-0,Mock,PRJNA344453,5374237,0.917,3/20/2017
GSM2327986,JFC002: Col-0_HighP_noTreatment_expA-rep2,44.83,28.12,0,seedlings,Col-0,Col-0,Mock,PRJNA344453,5424270,0.9122,3/20/2017
GSM2327987,JFC003: Col-0_HighP_noTreatment_expA-rep3,56.28,23.87,0,seedlings,Col-0,Col-0,Mock,PRJNA344453,4343300,0.9007,3/20/2017
GSM2327988,JFC013: phr1phl1_HighP_noTreatment_expA-rep1,53.33,26.97,0,seedlings,Col-0,phr1 phl1,Mock,PRJNA344453,6013043,0.9049,3/20/2017
GSM2327989,JFC014: phr1phl1_HighP_noTreatment_expA-rep2,45.1,24.91,0,seedlings,Col-0,phr1 phl1,Mock,PRJNA344453,7513009,0.9099,3/20/2017
GSM2327990,JFC015: phr1phl1_HighP_noTreatment_expA-rep3,55.83,24.42,0,seedlings,Col-0,phr1 phl1,Mock,PRJNA344453,5027602,0.914,3/20/2017
GSM2327991,JFC019: Col-0_HighP_MeJA_expA-rep1,49.54,20.19,0,seedlings,Col-0,Col-0,HighP_MeJA,PRJNA344453,2370889,0.9253,3/20/2017
GSM2327992,JFC020: Col-0_HighP_MeJA_expA-rep2,47.02,21.69,0,seedlings,Col-0,Col-0,HighP_MeJA,PRJNA344453,2310259,0.9099,3/20/2017
GSM2327993,JFC021: Col-0_HighP_MeJA_expA-rep3,42.68,22.36,0,seedlings,Col-0,Col-0,HighP_MeJA,PRJNA344453,1683348,0.9155,3/20/2017
GSM2327994,JFC031: phr1phl1_HighP_MeJA_expA-rep1,32.91,27.82,0,seedlings,Col-0,phr1 phl1,HighP_MeJA,PRJNA344453,6102851,0.8997,3/20/2017
GSM2327995,JFC032: phr1phl1_HighP_MeJA_expA-rep2,35.9,31.64,0,seedlings,Col-0,phr1 phl1,HighP_MeJA,PRJNA344453,6795255,0.9034,3/20/2017
GSM2327996,JFC033: phr1phl1_HighP_MeJA_expA-rep3,36.84,24.11,0,seedlings,Col-0,phr1 phl1,HighP_MeJA,PRJNA344453,4734319,0.914,3/20/2017
GSM2327997,JFC037: Col-0_HighP_flg22_expA-rep1,42.79,22.07,0,seedlings,Col-0,Col-0,HighP_flg22,PRJNA344453,2851618,0.9058,3/20/2017
GSM2327998,JFC038: Col-0_HighP_flg22_expA-rep2,45.61,25.56,0,seedlings,Col-0,Col-0,HighP_flg22,PRJNA344453,5428930,0.8979,3/20/2017
GSM2327999,JFC039: Col-0_HighP_flg22_expA-rep3,43.52,25.33,0,seedlings,Col-0,Col-0,HighP_flg22,PRJNA344453,5481665,0.9057,3/20/2017
GSM2328000,JFC049: phr1phl1_HighP_flg22_expA-rep1,36.3,26.82,0,seedlings,Col-0,phr1 phl1,HighP_flg22,PRJNA344453,5445321,0.9138,3/20/2017
GSM2328001,JFC050: phr1phl1_HighP_flg22_expA-rep2,45.36,24.08,0,seedlings,Col-0,phr1 phl1,HighP_flg22,PRJNA344453,5963798,0.9017,3/20/2017
GSM2328002,JFC051: phr1phl1_HighP_flg22_expA-rep3,48.55,24.49,0,seedlings,Col-0,phr1 phl1,HighP_flg22,PRJNA344453,3932591,0.8951,3/20/2017
GSM2328003,JFC055: Col-0_LowP_noTreatment_expA-rep1,48.76,23.78,0,seedlings,Col-0,Col-0,Mock,PRJNA344453,5003919,0.9095,3/20/2017
GSM2328004,JFC056: Col-0_LowP_noTreatment_expA-rep2,40.72,22.98,0,seedlings,Col-0,Col-0,Mock,PRJNA344453,6202775,0.9047,3/20/2017
GSM2328005,JFC057: Col-0_LowP_noTreatment_expA-rep3,43.03,20.92,0,seedlings,Col-0,Col-0,Mock,PRJNA344453,6791342,0.9099,3/20/2017
GSM2328006,JFC067: phr1phl1_LowP_noTreatment_expA-rep1,32.93,25.48,0,seedlings,Col-0,phr1 phl1,Mock,PRJNA344453,5227690,0.904,3/20/2017
GSM2328007,JFC068: phr1phl1_LowP_noTreatment_expA-rep2,36.02,24.93,0,seedlings,Col-0,phr1 phl1,Mock,PRJNA344453,6966271,0.8853,3/20/2017
GSM2328008,JFC069: phr1phl1_LowP_noTreatment_expA-rep3,37.38,25.1,0,seedlings,Col-0,phr1 phl1,Mock,PRJNA344453,4260984,0.9071,3/20/2017
GSM2328009,JFC073: Col-0_LowP_MeJA_expA-rep1,36.49,27.1,0,seedlings,Col-0,Col-0,LowP_MeJA,PRJNA344453,5052073,0.9121,3/20/2017
GSM2328010,JFC074: Col-0_LowP_MeJA_expA-rep2,36.39,28.55,0,seedlings,Col-0,Col-0,LowP_MeJA,PRJNA344453,7274450,0.9098,3/20/2017
GSM2328011,JFC075: Col-0_LowP_MeJA_expA-rep3,35.79,18.76,0,seedlings,Col-0,Col-0,LowP_MeJA,PRJNA344453,3486604,0.8908,3/20/2017
GSM2328012,JFC085: phr1phl1_LowP_MeJA_expA-rep1,31.4,23.7,0,seedlings,Col-0,phr1 phl1,LowP_MeJA,PRJNA344453,5364812,0.9068,3/20/2017
GSM2328013,JFC086: phr1phl1_LowP_MeJA_expA-rep2,22.75,25.09,0,seedlings,Col-0,phr1 phl1,LowP_MeJA,PRJNA344453,3582026,0.896,3/20/2017
GSM2328014,JFC087: phr1phl1_LowP_MeJA_expA-rep3,28.23,24.33,0,seedlings,Col-0,phr1 phl1,LowP_MeJA,PRJNA344453,4182800,0.9056,3/20/2017
GSM2328015,JFC091: Col-0_LowP_flg22_expA-rep1,36.34,26.73,0,seedlings,Col-0,Col-0,LowP_flg22,PRJNA344453,4066857,0.9047,3/20/2017
GSM2328016,JFC092: Col-0_LowP_flg22_expA-rep2,58.35,20.48,0,seedlings,Col-0,Col-0,LowP_flg22,PRJNA344453,3278826,0.8919,3/20/2017
GSM2328017,JFC093: Col-0_LowP_flg22_expA-rep3,33.39,27.62,0,seedlings,Col-0,Col-0,LowP_flg22,PRJNA344453,5527545,0.902,3/20/2017
GSM2328018,JFC103: phr1phl1_LowP_flg22_expA-rep1,24.47,27.42,0,seedlings,Col-0,phr1 phl1,LowP_flg22,PRJNA344453,3988497,0.8896,3/20/2017
GSM2328019,JFC104: phr1phl1_LowP_flg22_expA-rep2,29.69,27.46,0,seedlings,Col-0,phr1 phl1,LowP_flg22,PRJNA344453,5527689,0.8571,3/20/2017
GSM2328020,JFC105: phr1phl1_LowP_flg22_expA-rep3,37.31,26.06,0,seedlings,Col-0,phr1 phl1,LowP_flg22,PRJNA344453,6111290,0.8515,3/20/2017
GSM2328021,JFC109: Col-0_HighP_noTreatment_expB-rep1,99.7,25.37,0,seedlings,Col-0,Col-0,Mock,PRJNA344453,5765438,0.8755,3/20/2017
GSM2328022,JFC110: Col-0_HighP_noTreatment_expB-rep2,77.87,23.34,0,seedlings,Col-0,Col-0,Mock,PRJNA344453,4780586,0.5322,3/20/2017
GSM2328023,JFC111: Col-0_HighP_noTreatment_expB-rep3,62.35,30.11,0,seedlings,Col-0,Col-0,Mock,PRJNA344453,7836907,0.9024,3/20/2017
GSM2328024,JFC121: phr1phl1_HighP_noTreatment_expB-rep1,84.48,26.28,0,seedlings,Col-0,phr1 phl1,Mock,PRJNA344453,4326956,0.8843,3/20/2017
GSM2328025,JFC122: phr1phl1_HighP_noTreatment_expB-rep2,100.25,19.99,0,seedlings,Col-0,phr1 phl1,Mock,PRJNA344453,4137942,0.6814,3/20/2017
GSM2328026,JFC123: phr1phl1_HighP_noTreatment_expB-rep3,92.82,26.02,0,seedlings,Col-0,phr1 phl1,Mock,PRJNA344453,4172480,0.8695,3/20/2017
GSM2328027,JFC127: Col-0_HighP_MeJA_expB-rep1,61.72,15.72,0,seedlings,Col-0,Col-0,HighP_MeJA,PRJNA344453,801902,0.9147,3/20/2017
GSM2328028,JFC128: Col-0_HighP_MeJA_expB-rep2,65.76,26.93,0,seedlings,Col-0,Col-0,HighP_MeJA,PRJNA344453,2761968,0.9044,3/20/2017
GSM2328029,JFC129: Col-0_HighP_MeJA_expB-rep3,96.32,21.99,0,seedlings,Col-0,Col-0,HighP_MeJA,PRJNA344453,1362829,0.8948,3/20/2017
GSM2328030,JFC139: phr1phl1_HighP_MeJA_expB-rep1,61.21,30.09,0,seedlings,Col-0,phr1 phl1,HighP_MeJA,PRJNA344453,6909182,0.89,3/20/2017
GSM2328031,JFC140: phr1phl1_HighP_MeJA_expB-rep2,63.63,28.51,0,seedlings,Col-0,phr1 phl1,HighP_MeJA,PRJNA344453,4784817,0.8982,3/20/2017
GSM2328032,JFC141: phr1phl1_HighP_MeJA_expB-rep3,86.99,22.79,0,seedlings,Col-0,phr1 phl1,HighP_MeJA,PRJNA344453,4351408,0.8882,3/20/2017
GSM2328033,JFC145: Col-0_HighP_flg22_expB-rep1,73.45,27.93,0,seedlings,Col-0,Col-0,HighP_flg22,PRJNA344453,4023807,0.8786,3/20/2017
GSM2328034,JFC146: Col-0_HighP_flg22_expB-rep2,63.43,28.23,0,seedlings,Col-0,Col-0,HighP_flg22,PRJNA344453,6321888,0.8946,3/20/2017
GSM2328035,JFC147: Col-0_HighP_flg22_expB-rep3,63.96,23.73,0,seedlings,Col-0,Col-0,HighP_flg22,PRJNA344453,3853799,0.9086,3/20/2017
GSM2328036,JFC157: phr1phl1_HighP_flg22_expB-rep1,65.99,26.63,0,seedlings,Col-0,phr1 phl1,HighP_flg22,PRJNA344453,4421198,0.8934,3/20/2017
GSM2328037,JFC158: phr1phl1_HighP_flg22_expB-rep2,65.76,26.31,0,seedlings,Col-0,phr1 phl1,HighP_flg22,PRJNA344453,4016852,0.8976,3/20/2017
GSM2328038,JFC159: phr1phl1_HighP_flg22_expB-rep3,72.09,24.32,0,seedlings,Col-0,phr1 phl1,HighP_flg22,PRJNA344453,4490218,0.8985,3/20/2017
GSM2328039,JFC160: Col-0_LowP_noTreatment_expB-rep1,90.88,24.69,0,seedlings,Col-0,Col-0,Mock,PRJNA344453,3024926,0.8431,3/20/2017
GSM2328040,JFC161: Col-0_LowP_noTreatment_expB-rep2,68.63,25.88,0,seedlings,Col-0,Col-0,Mock,PRJNA344453,4171623,0.8903,3/20/2017
GSM2328041,JFC162: Col-0_LowP_noTreatment_expB-rep3,57.02,26.16,0,seedlings,Col-0,Col-0,Mock,PRJNA344453,6161388,0.8899,3/20/2017
GSM2328042,JFC172: phr1phl1_LowP_noTreatment_expB-rep1,59.68,23.34,0,seedlings,Col-0,phr1 phl1,Mock,PRJNA344453,4256886,0.8719,3/20/2017
GSM2328043,JFC173: phr1phl1_LowP_noTreatment_expB-rep2,64.59,23.54,0,seedlings,Col-0,phr1 phl1,Mock,PRJNA344453,3892174,0.8969,3/20/2017
GSM2328044,JFC174: phr1phl1_LowP_noTreatment_expB-rep3,61.81,23.06,0,seedlings,Col-0,phr1 phl1,Mock,PRJNA344453,2885418,0.8837,3/20/2017
GSM2328045,JFC178: Col-0_LowP_MeJA_expB-rep1,51.96,33.14,0,seedlings,Col-0,Col-0,LowP_MeJA,PRJNA344453,6296720,0.8727,3/20/2017
GSM2328046,JFC179: Col-0_LowP_MeJA_expB-rep2,77.6,21,0,seedlings,Col-0,Col-0,LowP_MeJA,PRJNA344453,3845660,0.8585,3/20/2017
GSM2328047,JFC180: Col-0_LowP_MeJA_expB-rep3,57.53,22.63,0,seedlings,Col-0,Col-0,LowP_MeJA,PRJNA344453,3627949,0.8962,3/20/2017
GSM2328048,JFC190: phr1phl1_LowP_MeJA_expB-rep1,49.48,27.13,0,seedlings,Col-0,phr1 phl1,LowP_MeJA,PRJNA344453,4896580,0.8982,3/20/2017
GSM2328049,JFC191: phr1phl1_LowP_MeJA_expB-rep2,62.31,25.53,0,seedlings,Col-0,phr1 phl1,LowP_MeJA,PRJNA344453,3549891,0.8924,3/20/2017
GSM2328050,JFC192: phr1phl1_LowP_MeJA_expB-rep3,48.43,25.97,0,seedlings,Col-0,phr1 phl1,LowP_MeJA,PRJNA344453,4153335,0.8846,3/20/2017
GSM2328051,JFC196: Col-0_LowP_flg22_expB-rep1,65.34,25.25,0,seedlings,Col-0,Col-0,LowP_flg22,PRJNA344453,4398132,0.8758,3/20/2017
GSM2328052,JFC197: Col-0_LowP_flg22_expB-rep2,70.3,25.9,0,seedlings,Col-0,Col-0,LowP_flg22,PRJNA344453,6184493,0.8788,3/20/2017
GSM2328053,JFC198: Col-0_LowP_flg22_expB-rep3,44.97,25.84,0,seedlings,Col-0,Col-0,LowP_flg22,PRJNA344453,4607669,0.8542,3/20/2017
GSM2328054,JFC208: phr1phl1_LowP_flg22_expB-rep1,51.01,26.7,0,seedlings,Col-0,phr1 phl1,LowP_flg22,PRJNA344453,5669633,0.8914,3/20/2017
GSM2328055,JFC209: phr1phl1_LowP_flg22_expB-rep2,74.84,25.48,0,seedlings,Col-0,phr1 phl1,LowP_flg22,PRJNA344453,4337641,0.8833,3/20/2017
GSM2328056,JFC210: phr1phl1_LowP_flg22_expB-rep3,71.78,24.16,0,seedlings,Col-0,phr1 phl1,LowP_flg22,PRJNA344453,3908817,0.8872,3/20/2017
GSM2328057,PBI115: Col-0_preTreat(-P)_LowP_noBact_expB-rep1,39.04,28.8,0,seedlings,Col-0,Col-0,--,PRJNA344452,5772804,0.8956,3/20/2017
GSM2328058,PBI116: phf1_preTreat(-P)_LowP_noBact_expB-rep1,48.35,10.35,31.24,seedlings,Col-0,phf1,--,PRJNA344452,4914478,0.8991,3/20/2017
GSM2328059,PBI117: phr1phl1_preTreat(-P)_LowP_noBact_expB-rep1,49.37,21.53,0,seedlings,Col-0,phr1 phl1,--,PRJNA344452,3106785,0.8814,3/20/2017
GSM2328060,PBI118: Col-0_preTreat(-P)_LowP_noBact_expB-rep2,35.62,28.41,0,seedlings,Col-0,Col-0,--,PRJNA344452,8881900,0.9012,3/20/2017
GSM2328061,PBI119: phf1_preTreat(-P)_LowP_noBact_expB-rep2,39.34,25.94,0,seedlings,Col-0,phf1,--,PRJNA344452,4014537,0.8945,3/20/2017
GSM2328062,PBI120: phr1phl1_preTreat(-P)_LowP_noBact_expB-rep2,28.3,8.68,28.68,seedlings,Col-0,phr1 phl1,--,PRJNA344452,2491616,0.8883,3/20/2017
GSM2328063,PBI121: Col-0_preTreat(+P)_LowP_noBact_expB-rep1,60.85,22.21,0,seedlings,Col-0,Col-0,--,PRJNA344452,4646862,0.7477,3/20/2017
GSM2328064,PBI122: phf1_preTreat(+P)_LowP_noBact_expB-rep1,47.51,26.46,0,seedlings,Col-0,phf1,--,PRJNA344452,4670541,0.9018,3/20/2017
GSM2328065,PBI123: phr1phl1_preTreat(+P)_LowP_noBact_expB-rep1,42.47,25.39,0,seedlings,Col-0,phr1 phl1,--,PRJNA344452,3524365,0.899,3/20/2017
GSM2328066,PBI124: Col-0_preTreat(+P)_LowP_noBact_expB-rep2,26.32,27.77,0,seedlings,Col-0,Col-0,--,PRJNA344452,4680184,0.9031,3/20/2017
GSM2328067,PBI125: phf1_preTreat(+P)_LowP_noBact_expB-rep2,27.92,27.71,0,seedlings,Col-0,phf1,--,PRJNA344452,4344057,0.9032,3/20/2017
GSM2328068,PBI126: phr1phl1_preTreat(+P)_LowP_noBact_expB-rep2,26.63,27.07,0,seedlings,Col-0,phr1 phl1,--,PRJNA344452,7142243,0.8964,3/20/2017
GSM2328069,PBI127: Col-0_preTreat(+Phi)_LowP_noBact_expB-rep1,28.77,26.61,0,seedlings,Col-0,Col-0,--,PRJNA344452,3986347,0.8974,3/20/2017
GSM2328070,PBI128: phf1_preTreat(+Phi)_LowP_noBact_expB-rep1,32.75,13.48,28.49,seedlings,Col-0,phf1,--,PRJNA344452,3900330,0.8924,3/20/2017
GSM2328071,PBI129: phr1phl1_preTreat(+Phi)_LowP_noBact_expB-rep1,36.25,24.25,0,seedlings,Col-0,phr1 phl1,--,PRJNA344452,3823567,0.8516,3/20/2017
GSM2328072,PBI130: Col-0_preTreat(+Phi)_LowP_noBact_expB-rep2,33.42,30.09,0,seedlings,Col-0,Col-0,--,PRJNA344452,7334268,0.8961,3/20/2017
GSM2328073,PBI131: phf1_preTreat(+Phi)_LowP_noBact_expB-rep2,34.01,24.46,0,seedlings,Col-0,phf1,--,PRJNA344452,2850906,0.9099,3/20/2017
GSM2328074,PBI132: phr1phl1_preTreat(+Phi)_LowP_noBact_expB-rep2,20.39,23.66,0,seedlings,Col-0,phr1 phl1,--,PRJNA344452,2437371,0.9053,3/20/2017
GSM2328075,PBI133: Col-0_preTreat(-P)_LowP_SynCom_expB-rep1,44.12,22.83,0,seedlings,Col-0,Col-0,--,PRJNA344452,2787647,0.9149,3/20/2017
GSM2328076,PBI134: phf1_preTreat(-P)_LowP_SynCom_expB-rep1,37.1,23.85,0,seedlings,Col-0,phf1,--,PRJNA344452,3384190,0.903,3/20/2017
GSM2328077,PBI135: phr1phl1_preTreat(-P)_LowP_SynCom_expB-rep1,33.08,24.9,0,seedlings,Col-0,phr1 phl1,--,PRJNA344452,1907705,0.8998,3/20/2017
GSM2328078,PBI136: Col-0_preTreat(-P)_LowP_SynCom_expB-rep2,52.54,24.46,0,seedlings,Col-0,Col-0,--,PRJNA344452,3854519,0.9004,3/20/2017
GSM2328079,PBI137: phf1_preTreat(-P)_LowP_SynCom_expB-rep2,30.8,16.85,0,seedlings,Col-0,phf1,--,PRJNA344452,1732815,0.9095,3/20/2017
GSM2328080,PBI138: phr1phl1_preTreat(-P)_LowP_SynCom_expB-rep2,43.93,23.69,0,seedlings,Col-0,phr1 phl1,--,PRJNA344452,3326773,0.8785,3/20/2017
GSM2328081,PBI139: Col-0_preTreat(+P)_LowP_SynCom_expB-rep1,51.32,25.18,0,seedlings,Col-0,Col-0,--,PRJNA344452,4812111,0.9023,3/20/2017
GSM2328082,PBI140: phf1_preTreat(+P)_LowP_SynCom_expB-rep1,47.4,25.57,0,seedlings,Col-0,phf1,--,PRJNA344452,6473012,0.8984,3/20/2017
GSM2328083,PBI141: phr1phl1_preTreat(+P)_LowP_SynCom_expB-rep1,42.2,25.44,0,seedlings,Col-0,phr1 phl1,--,PRJNA344452,4766998,0.89,3/20/2017
GSM2328084,PBI142: Col-0_preTreat(+P)_LowP_SynCom_expB-rep2,51.59,29.62,0,seedlings,Col-0,Col-0,--,PRJNA344452,12202841,0.8978,3/20/2017
GSM2328085,PBI143: phf1_preTreat(+P)_LowP_SynCom_expB-rep2,45.78,25.38,0,seedlings,Col-0,phf1,--,PRJNA344452,4447947,0.8842,3/20/2017
GSM2328086,PBI144: phr1phl1_preTreat(+P)_LowP_SynCom_expB-rep2,40.2,28.24,0,seedlings,Col-0,phr1 phl1,--,PRJNA344452,8568196,0.891,3/20/2017
GSM2328087,PBI145: Col-0_preTreat(+Phi)_LowP_SynCom_expB-rep1,44.11,27.56,0,seedlings,Col-0,Col-0,--,PRJNA344452,7105904,0.8903,3/20/2017
GSM2328088,PBI146: phf1_preTreat(+Phi)_LowP_SynCom_expB-rep1,42.41,10.03,28.28,seedlings,Col-0,phf1,--,PRJNA344452,4422645,0.8924,3/20/2017
GSM2328089,PBI147: phr1phl1_preTreat(+Phi)_LowP_SynCom_expB-rep1,44.55,25.92,0,seedlings,Col-0,phr1 phl1,--,PRJNA344452,6539686,0.8956,3/20/2017
GSM2328090,PBI148: Col-0_preTreat(+Phi)_LowP_SynCom_expB-rep2,58.29,25.1,0,seedlings,Col-0,Col-0,--,PRJNA344452,5349256,0.8996,3/20/2017
GSM2328091,PBI149: phf1_preTreat(+Phi)_LowP_SynCom_expB-rep2,59,23.88,0,seedlings,Col-0,phf1,--,PRJNA344452,5067906,0.9058,3/20/2017
GSM2328092,PBI150: phr1phl1_preTreat(+Phi)_LowP_SynCom_expB-rep2,48.28,23.51,0,seedlings,Col-0,phr1 phl1,--,PRJNA344452,3580511,0.8843,3/20/2017
GSM2328093,PBI151: Col-0_preTreat(-P)_HighP_noBact_expB-rep1,43.59,25.45,0,seedlings,Col-0,Col-0,--,PRJNA344452,2997327,0.9031,3/20/2017
GSM2328094,PBI152: phf1_preTreat(-P)_HighP_noBact_expB-rep1,45.25,25.79,0,seedlings,Col-0,phf1,--,PRJNA344452,4159675,0.8957,3/20/2017
GSM2328095,PBI153: phr1phl1_preTreat(-P)_HighP_noBact_expB-rep1,32.67,29.07,0,seedlings,Col-0,phr1 phl1,--,PRJNA344452,6945096,0.8885,3/20/2017
GSM2328096,PBI154: Col-0_preTreat(-P)_HighP_noBact_expB-rep2,28.81,25.08,0,seedlings,Col-0,Col-0,--,PRJNA344452,4205741,0.8989,3/20/2017
GSM2328097,PBI155: phf1_preTreat(-P)_HighP_noBact_expB-rep2,26.34,26.89,0,seedlings,Col-0,phf1,--,PRJNA344452,4689267,0.9037,3/20/2017
GSM2328098,PBI156: phr1phl1_preTreat(-P)_HighP_noBact_expB-rep2,21.32,26.71,0,seedlings,Col-0,phr1 phl1,--,PRJNA344452,5566709,0.8937,3/20/2017
GSM2328099,PBI157: Col-0_preTreat(+P)_HighP_noBact_expB-rep1,85.7,1.52,13.22,seedlings,Col-0,Col-0,--,PRJNA344452,2403685,0.9102,3/20/2017
GSM2328100,PBI158: phf1_preTreat(+P)_HighP_noBact_expB-rep1,37.17,29.93,0,seedlings,Col-0,phf1,--,PRJNA344452,10501628,0.9003,3/20/2017
GSM2328101,PBI159: phr1phl1_preTreat(+P)_HighP_noBact_expB-rep1,37.45,24.84,0,seedlings,Col-0,phr1 phl1,--,PRJNA344452,3621346,0.8954,3/20/2017
GSM2328102,PBI160: Col-0_preTreat(+P)_HighP_noBact_expB-rep2,24.95,26.57,0,seedlings,Col-0,Col-0,--,PRJNA344452,3744135,0.8978,3/20/2017
GSM2328103,PBI161: phf1_preTreat(+P)_HighP_noBact_expB-rep2,25.81,28.64,0,seedlings,Col-0,phf1,--,PRJNA344452,9340262,0.9005,3/20/2017
GSM2328104,PBI162: phr1phl1_preTreat(+P)_HighP_noBact_expB-rep2,23.07,28.04,0,seedlings,Col-0,phr1 phl1,--,PRJNA344452,6879614,0.8948,3/20/2017
GSM2328105,PBI163: Col-0_preTreat(+Phi)_HighP_noBact_expB-rep1,44.6,28.3,0,seedlings,Col-0,Col-0,--,PRJNA344452,6543104,0.9002,3/20/2017
GSM2328106,PBI164: phf1_preTreat(+Phi)_HighP_noBact_expB-rep1,42.24,27.62,0,seedlings,Col-0,phf1,--,PRJNA344452,4872338,0.8996,3/20/2017
GSM2328107,PBI165: phr1phl1_preTreat(+Phi)_HighP_noBact_expB-rep1,34.08,26.14,0,seedlings,Col-0,phr1 phl1,--,PRJNA344452,4958033,0.8901,3/20/2017
GSM2328108,PBI166: Col-0_preTreat(+Phi)_HighP_noBact_expB-rep2,37.13,28.39,0,seedlings,Col-0,Col-0,--,PRJNA344452,3554820,0.8915,3/20/2017
GSM2328109,PBI167: phf1_preTreat(+Phi)_HighP_noBact_expB-rep2,28.44,23.88,0,seedlings,Col-0,phf1,--,PRJNA344452,3586515,0.9039,3/20/2017
GSM2328110,PBI168: phr1phl1_preTreat(+Phi)_HighP_noBact_expB-rep2,23.47,28.77,0,seedlings,Col-0,phr1 phl1,--,PRJNA344452,4271845,0.8881,3/20/2017
GSM2328111,PBI169: Col-0_preTreat(-P)_HighP_SynCom_expB-rep1,24.44,29.11,0,seedlings,Col-0,Col-0,--,PRJNA344452,3835515,0.8994,3/20/2017
GSM2328112,PBI170: phf1_preTreat(-P)_HighP_SynCom_expB-rep1,37.52,28.88,0,seedlings,Col-0,phf1,--,PRJNA344452,5428102,0.898,3/20/2017
GSM2328113,PBI171: phr1phl1_preTreat(-P)_HighP_SynCom_expB-rep1,28.06,30.26,0,seedlings,Col-0,phr1 phl1,--,PRJNA344452,3373472,0.8939,3/20/2017
GSM2328114,PBI172: Col-0_preTreat(-P)_HighP_SynCom_expB-rep2,50.93,29.06,0,seedlings,Col-0,Col-0,--,PRJNA344452,3017230,0.894,3/20/2017
GSM2328115,PBI173: phf1_preTreat(-P)_HighP_SynCom_expB-rep2,46.3,28.29,0,seedlings,Col-0,phf1,--,PRJNA344452,4207137,0.9019,3/20/2017
