Sample,Project,SampleName,PMID,Genotype,Ecotype,Tissue_raw,TotalReads,UniqueMappedRate,ReleaseDate,Count,Tissue,VegetativeRepro,AboveBelow
GSM2328301,PRJNA344451,PBI101: phr1_HighP_SynCom_expE-rep1,28297714,phr1,Col-0,seedlings,3492946,0.87,3/20/2017,,other,other,other
GSM2328302,PRJNA344451,PBI102: phr1_HighP_SynCom_expE-rep2,28297714,phr1,Col-0,seedlings,3547051,0.87,3/20/2017,,other,other,other
GSM2328303,PRJNA344451,PBI103: phr1phl1_HighP_SynCom_expE-rep1,28297714,phr1 phl1,Col-0,seedlings,2747989,0.87,3/20/2017,,other,other,other
GSM2330518,PRJNA344695,Col-0_20oC,28482101,wild type,Col-0,leaves,24604401,0.96,5/11/2017,3633,Leaf,Vegetative,Above
GSM2330519,PRJNA344695,lsm8-1_20oC,28482101,lsm8-1,Col-0,leaves,25272804,0.96,5/11/2017,3633,Leaf,Vegetative,Above
GSM2330520,PRJNA344695,Col-0_4oC,28482101,wild type,Col-0,leaves,25360886,0.97,5/11/2017,3633,Leaf,Vegetative,Above
GSM2330521,PRJNA344695,lsm8-1_4oC,28482101,lsm8-1,Col-0,leaves,25346181,0.97,5/11/2017,3633,Leaf,Vegetative,Above
GSM2330522,PRJNA344695,Col-0_GM,28482101,wild type,Col-0,leaves,26052565,0.96,5/11/2017,3633,Leaf,Vegetative,Above
GSM2330523,PRJNA344695,lsm8-1_GM,28482101,lsm8-1,Col-0,leaves,26284670,0.96,5/11/2017,3633,Leaf,Vegetative,Above
GSM2330524,PRJNA344695,Col-0_NaCl,28482101,wild type,Col-0,leaves,26294147,0.97,5/11/2017,3633,Leaf,Vegetative,Above
GSM2330525,PRJNA344695,lsm8-1_NaCl,28482101,lsm8-1,Col-0,leaves,26380256,0.96,5/11/2017,3633,Leaf,Vegetative,Above
GSM2332896,PRJNA344964,WT ZT12 rep1,/,wild type,Col-0,aerial seedling,26329289,0.93,1/3/2017,,other,other,other
GSM2332897,PRJNA344964,WT ZT12 rep2,/,wild type,Col-0,aerial seedling,39465075,0.79,1/3/2017,,other,other,other
GSM2332898,PRJNA344964,WT ZT12 rep3,/,wild type,Col-0,aerial seedling,22615161,0.92,1/3/2017,,other,other,other
GSM2332899,PRJNA344964,camta1/2/3/sid2 ZT12 rep1,/,camta1/2/3/sid2 mutant,Col-0,aerial seedling,25356995,0.93,1/3/2017,,other,other,other
GSM2332900,PRJNA344964,camta1/2/3/sid2 ZT12 rep2,/,camta1/2/3/sid2 mutant,Col-0,aerial seedling,23855284,0.93,1/3/2017,,other,other,other
GSM2332901,PRJNA344964,camta1/2/3/sid2 ZT12 rep3,/,camta1/2/3/sid2 mutant,Col-0,aerial seedling,23787210,0.93,1/3/2017,,other,other,other
GSM1072464,PRJNA188075,"LL, WT rep 1",23818596,Wild type,Col-0,seedlings,14103699,0.91,8/2/2013,,other,other,other
GSM1072465,PRJNA188075,"LL, WT rep 2",23818596,Wild type,Col-0,seedlings,16789422,0.91,8/2/2013,,other,other,other
GSM1072466,PRJNA188075,"LL, WT rep 3",23818596,Wild type,Col-0,seedlings,14074859,0.91,8/2/2013,,other,other,other
GSM1072467,PRJNA188075,"LL, rep 1",23818596,link1link2 double mutants,Col-0,seedlings,18297931,0.91,8/2/2013,,other,other,other
GSM1072468,PRJNA188075,"LL, rep 2",23818596,link1link2 double mutants,Col-0,seedlings,16145385,0.9,8/2/2013,,other,other,other
GSM1072469,PRJNA188075,"LL, rep 3",23818596,link1link2 double mutants,Col-0,seedlings,15721362,0.91,8/2/2013,,other,other,other
GSM1072470,PRJNA188075,"Long days WT, ZT2, rep 1",23818596,Wild type,Col-0,seedlings,10641335,0.91,8/2/2013,,other,other,other
GSM1072471,PRJNA188075,"Long days WT, ZT2, rep 2",23818596,Wild type,Col-0,seedlings,16888191,0.79,8/2/2013,,other,other,other
GSM1072472,PRJNA188075,"Long days WT, ZT2, rep 3",23818596,Wild type,Col-0,seedlings,9385343,0.79,8/2/2013,,other,other,other
GSM1072473,PRJNA188075,"Long days WT, ZT6, rep 1",23818596,Wild type,Col-0,seedlings,12254194,0.9,8/2/2013,,other,other,other
GSM1072474,PRJNA188075,"Long days WT, ZT6, rep 2",23818596,Wild type,Col-0,seedlings,11994106,0.91,8/2/2013,,other,other,other
GSM1072475,PRJNA188075,"Long days WT, ZT6, rep 3",23818596,Wild type,Col-0,seedlings,10620803,0.91,8/2/2013,,other,other,other
GSM1072476,PRJNA188075,"Long days WT, ZT10, rep 1",23818596,Wild type,Col-0,seedlings,11164888,0.92,8/2/2013,,other,other,other
GSM1072477,PRJNA188075,"Long days WT, ZT10, rep 2",23818596,Wild type,Col-0,seedlings,9462380,0.88,8/2/2013,,other,other,other
GSM1072478,PRJNA188075,"Long days WT, ZT10, rep 3",23818596,Wild type,Col-0,seedlings,14816518,0.92,8/2/2013,,other,other,other
GSM1072479,PRJNA188075,"Long days WT, ZT14, rep 1",23818596,Wild type,Col-0,seedlings,10111496,0.9,8/2/2013,,other,other,other
GSM1072480,PRJNA188075,"Long days WT, ZT14, rep 2",23818596,Wild type,Col-0,seedlings,11299560,0.91,8/2/2013,,other,other,other
GSM1072481,PRJNA188075,"Long days WT, ZT14, rep 3",23818596,Wild type,Col-0,seedlings,9396880,0.79,8/2/2013,,other,other,other
GSM1072482,PRJNA188075,"Long days WT, ZT18, rep 1",23818596,Wild type,Col-0,seedlings,10962505,0.91,8/2/2013,,other,other,other
GSM1072483,PRJNA188075,"Long days WT, ZT18, rep 2",23818596,Wild type,Col-0,seedlings,11560766,0.91,8/2/2013,,other,other,other
GSM1072484,PRJNA188075,"Long days WT, ZT18, rep 3",23818596,Wild type,Col-0,seedlings,11568233,0.79,8/2/2013,,other,other,other
GSM1072485,PRJNA188075,"Long days WT, ZT22, rep 1",23818596,Wild type,Col-0,seedlings,13408078,0.79,8/2/2013,,other,other,other
GSM1072486,PRJNA188075,"Long days WT, ZT22, rep 2",23818596,Wild type,Col-0,seedlings,10127830,0.91,8/2/2013,,other,other,other
GSM1072487,PRJNA188075,"Long days WT, ZT22, rep 3",23818596,Wild type,Col-0,seedlings,12903410,0.79,8/2/2013,,other,other,other
GSM1072488,PRJNA188075,"Long days LL, ZT2, rep 1",23818596,link1link2 double mutants,Col-0,seedlings,13364290,0.79,8/2/2013,,other,other,other
GSM1072489,PRJNA188075,"Long days LL, ZT2, rep 2",23818596,link1link2 double mutants,Col-0,seedlings,11199488,0.91,8/2/2013,,other,other,other
GSM1072490,PRJNA188075,"Long days LL, ZT2, rep 3",23818596,link1link2 double mutants,Col-0,seedlings,11810318,0.89,8/2/2013,,other,other,other
GSM1072491,PRJNA188075,"Long days LL, ZT6, rep 1",23818596,link1link2 double mutants,Col-0,seedlings,10202158,0.91,8/2/2013,,other,other,other
GSM1072492,PRJNA188075,"Long days LL, ZT6, rep 2",23818596,link1link2 double mutants,Col-0,seedlings,10844198,0.91,8/2/2013,,other,other,other
GSM1072493,PRJNA188075,"Long days LL, ZT6, rep 3",23818596,link1link2 double mutants,Col-0,seedlings,11254672,0.79,8/2/2013,,other,other,other
GSM1072494,PRJNA188075,"Long days LL, ZT10, rep 1",23818596,link1link2 double mutants,Col-0,seedlings,10807757,0.78,8/2/2013,,other,other,other
GSM1072495,PRJNA188075,"Long days LL, ZT10, rep 2",23818596,link1link2 double mutants,Col-0,seedlings,10130918,0.79,8/2/2013,,other,other,other
GSM1072496,PRJNA188075,"Long days LL, ZT10, rep 3",23818596,link1link2 double mutants,Col-0,seedlings,12138761,0.91,8/2/2013,,other,other,other
GSM1072497,PRJNA188075,"Long days LL, ZT14, rep 1",23818596,link1link2 double mutants,Col-0,seedlings,9176985,0.78,8/2/2013,,other,other,other
GSM1072498,PRJNA188075,"Long days LL, ZT14, rep 2",23818596,link1link2 double mutants,Col-0,seedlings,12898181,0.79,8/2/2013,,other,other,other
GSM1072499,PRJNA188075,"Long days LL, ZT14, rep 3",23818596,link1link2 double mutants,Col-0,seedlings,9967883,0.78,8/2/2013,,other,other,other
GSM1072500,PRJNA188075,"Long days LL, ZT18, rep 1",23818596,link1link2 double mutants,Col-0,seedlings,9688046,0.78,8/2/2013,,other,other,other
GSM1072501,PRJNA188075,"Long days LL, ZT18, rep 2",23818596,link1link2 double mutants,Col-0,seedlings,11824134,0.91,8/2/2013,,other,other,other
GSM1072502,PRJNA188075,"Long days LL, ZT18, rep 3",23818596,link1link2 double mutants,Col-0,seedlings,10574441,0.9,8/2/2013,,other,other,other
GSM1072503,PRJNA188075,"Long days LL, ZT22, rep 1",23818596,link1link2 double mutants,Col-0,seedlings,10177235,0.89,8/2/2013,,other,other,other
GSM1072504,PRJNA188075,"Long days LL, ZT22, rep 2",23818596,link1link2 double mutants,Col-0,seedlings,11654847,0.91,8/2/2013,,other,other,other
GSM1072505,PRJNA188075,"Long days LL, ZT22, rep 3",23818596,link1link2 double mutants,Col-0,seedlings,12347600,0.89,8/2/2013,,other,other,other
GSM1076098,PRJNA188296,wt roots,/,wild type,Col-0,root,225257463,0.75,2/2/2015,1662,Root,Root,Below
GSM2339780,PRJNA347353,EYFP OE rosettes control-1,/,35spro,Col-0,rosette leaf,18058578,0.76,10/9/2016,1122,Leaf,Vegetative,Above
GSM2339781,PRJNA347353,EYFP OE rosettes control-2,/,35spro,Col-0,rosette leaf,17499728,0.78,10/9/2016,1122,Leaf,Vegetative,Above
GSM2339783,PRJNA347353,IMA1 OE rosettes control-2,/,35spro,Col-0,rosette leaf,18965146,0.75,10/9/2016,1122,Leaf,Vegetative,Above
GSM2339943,PRJNA347360,WT rosettes control-1,/,wild type,Col-0,rosette leaf,11014161,0.88,10/9/2016,1122,Leaf,Vegetative,Above
GSM2339944,PRJNA347360,WT rosettes control-2,/,wild type,Col-0,rosette leaf,11893436,0.88,10/9/2016,1122,Leaf,Vegetative,Above
GSM2339945,PRJNA347360,WT rosettes control-3,/,wild type,Col-0,rosette leaf,11659524,0.88,10/9/2016,1122,Leaf,Vegetative,Above
GSM2339946,PRJNA347360,WT rosettes Fe deficient-1,/,wild type,Col-0,rosette leaf,11638253,0.88,10/9/2016,1122,Leaf,Vegetative,Above
GSM2339947,PRJNA347360,WT rosettes Fe deficient-2,/,wild type,Col-0,rosette leaf,11893024,0.89,10/9/2016,1122,Leaf,Vegetative,Above
GSM2339948,PRJNA347360,WT rosettes Fe deficient-3,/,wild type,Col-0,rosette leaf,11209995,0.89,10/9/2016,1122,Leaf,Vegetative,Above
GSM2339949,PRJNA347360,WT roots control-1,/,wild type,Col-0,root,17485920,0.76,10/9/2016,1662,Root,Root,Below
GSM2339950,PRJNA347360,WT roots control-2,/,wild type,Col-0,root,7999718,0.76,10/9/2016,1662,Root,Root,Below
GSM2339951,PRJNA347360,WT roots control-3,/,wild type,Col-0,root,6466201,0.75,10/9/2016,1662,Root,Root,Below
GSM2339952,PRJNA347360,WT roots Fe deficient-1,/,wild type,Col-0,root,8111485,0.76,10/9/2016,1662,Root,Root,Below
GSM2339953,PRJNA347360,WT roots Fe deficient-2,/,wild type,Col-0,root,10796682,0.76,10/9/2016,1662,Root,Root,Below
GSM2339954,PRJNA347360,WT roots Fe deficient-3,/,wild type,Col-0,root,12906298,0.76,10/9/2016,1662,Root,Root,Below
GSM2341920,PRJNA347858,WT,28261246,wild type,Col-0,seedlings,11221175,0.97,6/12/2017,,other,other,other
GSM2341921,PRJNA347858,upf1-5,28261246,upf1-5,Col-0,seedlings,8789786,0.97,6/12/2017,,other,other,other
GSM2341922,PRJNA347858,upf3-1,28261246,upf3-1,Col-0,seedlings,6537125,0.96,6/12/2017,,other,other,other
GSM2341923,PRJNA347858,upf1-5 upf3-1,28261246,upf1-5 upf3-1,Col-0,seedlings,9601936,0.96,6/12/2017,,other,other,other
GSM2343003,PRJNA348194,atrx-1_1,28684426,atrx-1 mutant,Col-0,seedlings,20425972,0.82,7/19/2017,,other,other,other
GSM2364841,PRJNA351782,56-1_rep2,27934869,hdp1-1,35S::SUC2,seedlings,12973658,0.92,1/3/2017,,other,other,other
GSM2364842,PRJNA351782,56-1_rep1,27934869,hdp1-1,35S::SUC2,seedlings,14180999,0.92,1/3/2017,,other,other,other
GSM2364843,PRJNA351782,23-1_rep2,27934869,hdp2-1,35S::SUC2,seedlings,11436462,0.91,1/3/2017,,other,other,other
GSM2364844,PRJNA351782,23-1_rep1,27934869,hdp2-1,35S::SUC2,seedlings,16219390,0.92,1/3/2017,,other,other,other
GSM2364845,PRJNA351782,WTSUC2_rep1,27934869,WTSUC2,35S::SUC2,seedlings,12989828,0.92,1/3/2017,,other,other,other
GSM2364846,PRJNA351782,WTSUC2_rep2,27934869,WTSUC2,35S::SUC2,seedlings,11884040,0.92,1/3/2017,,other,other,other
GSM2367133,PRJNA351872,WT_7DAG_1,28403905,Wild Type,Col-0,seedlings,57837872,0.92,3/23/2017,,other,other,other
GSM2367134,PRJNA351872,WT_7DAG_2,28403905,Wild Type,Col-0,seedlings,49749961,0.9,3/23/2017,,other,other,other
GSM2367135,PRJNA351872,abc_7DAG_1,28403905,atbmi1abc triple mutant,Col-0,seedlings,54627448,0.92,3/23/2017,,other,other,other
GSM2367136,PRJNA351872,abc_7DAG_2,28403905,atbmi1abc triple mutant,Col-0,seedlings,46742567,0.91,3/23/2017,,other,other,other
GSM2371469,PRJNA352201,Col-0_WT_mRNA-Seq_rep1,27672037,wild type,Col-0,seedlings,16518523,0.82,11/4/2016,,other,other,other
GSM2371470,PRJNA352201,Col-0_WT_mRNA-Seq_rep2,27672037,wild type,Col-0,seedlings,13440856,0.83,11/4/2016,,other,other,other
GSM2371471,PRJNA352201,sac3b-7_mRNA-Seq_rep1,27672037,sac3b-7 (SALK 111245),Col-0,seedlings,16581285,0.83,11/4/2016,,other,other,other
GSM2371472,PRJNA352201,sac3b-7_mRNA-Seq_rep2,27672037,sac3b-7 (SALK 111245),Col-0,seedlings,17157118,0.82,11/4/2016,,other,other,other
GSM1930834,PRJNA352720,WT_Sil_n1,27956586,wild type,Col-0,siliques,34540755,0.92,11/16/2016,,other,other,other
GSM1930835,PRJNA352720,WT_Sil_n2,27956586,wild type,Col-0,siliques,48415649,0.94,11/16/2016,,other,other,other
GSM2388457,PRJNA353122,Col rep1,27930340,wild type,Col-0,seedlings,58249639,0.86,1/26/2017,,other,other,other
GSM2388458,PRJNA353122,Col rep2,27930340,wild type,Col-0,seedlings,68964930,0.87,1/26/2017,,other,other,other
GSM2388459,PRJNA353122,Col rep3,27930340,wild type,Col-0,seedlings,47880001,0.86,1/26/2017,,other,other,other
GSM2388460,PRJNA353122,hdac rep1,27930340,hda9-1,Col-0,seedlings,52124331,0.86,1/26/2017,,other,other,other
GSM2388461,PRJNA353122,hdac rep2,27930340,hda9-1,Col-0,seedlings,48062649,0.86,1/26/2017,,other,other,other
GSM2388462,PRJNA353122,hdac rep3,27930340,hda9-1,Col-0,seedlings,27833207,0.86,1/26/2017,,other,other,other
GSM2388463,PRJNA353122,pwr rep1,27930340,pwr-2,Col-0,seedlings,51480957,0.85,1/26/2017,,other,other,other
GSM2388464,PRJNA353122,pwr rep2,27930340,pwr-2,Col-0,seedlings,52882391,0.86,1/26/2017,,other,other,other
GSM2388465,PRJNA353122,pwr rep3,27930340,pwr-2,Col-0,seedlings,46448249,0.86,1/26/2017,,other,other,other
GSM2391502,PRJNA353593,Col rep1,27876642,wild type,Col-0,seedlings,16083528,0.89,11/17/2016,,other,other,other
GSM2391503,PRJNA353593,Col rep2,27876642,wild type,Col-0,seedlings,12490770,0.89,11/17/2016,,other,other,other
GSM2391504,PRJNA353593,Col rep3,27876642,wild type,Col-0,seedlings,14174915,0.9,11/17/2016,,other,other,other
GSM2391505,PRJNA353593,nf-ycQ rep1,27876642,T-DNA knockout mutant of nf-ycQ,Col-0,seedlings,15873138,0.87,11/17/2016,,other,other,other
GSM2391506,PRJNA353593,nf-ycQ rep2,27876642,T-DNA knockout mutant of nf-ycQ,Col-0,seedlings,13914785,0.88,11/17/2016,,other,other,other
GSM2391507,PRJNA353593,nf-ycQ rep3,27876642,T-DNA knockout mutant of nf-ycQ,Col-0,seedlings,14804422,0.88,11/17/2016,,other,other,other
GSM2395423,PRJNA354330,Col-1,28391398,wild type,Col-0,seed,14473238,0.88,7/12/2017,,other,other,other
GSM2395424,PRJNA354330,Col-2,28391398,wild type,Col-0,seed,14243385,0.93,7/12/2017,,other,other,other
GSM2395425,PRJNA354330,Col-3,28391398,wild type,Col-0,seed,16183682,0.92,7/12/2017,,other,other,other
GSM2395426,PRJNA354330,abi5-1,28391398,ABI5-/-,Col-0,seed,15072116,0.82,7/12/2017,,other,other,other
GSM2395427,PRJNA354330,abi5-2,28391398,ABI5-/-,Col-0,seed,15326317,0.9,7/12/2017,,other,other,other
GSM2395428,PRJNA354330,abi5-3,28391398,ABI5-/-,Col-0,seed,14086895,0.9,7/12/2017,,other,other,other
GSM2396841,PRJNA354385,Col-0 +Pi,28400510,wild type,Col-0,root tip,33370061,0.88,8/22/2017,110,Root,Root,Below
GSM2396843,PRJNA354385,Col-0 -Pi -Fe,28400510,wild type,Col-0,root tip,44696492,0.85,8/22/2017,110,Root,Root,Below
GSM2396844,PRJNA354385,stop1+Pi,28400510,stop1 mutant,Col-0,root tip,28608404,0.88,8/22/2017,110,Root,Root,Below
GSM2396845,PRJNA354385,stop1-Pi,28400510,stop1 mutant,Col-0,root tip,33116887,0.88,8/22/2017,110,Root,Root,Below
GSM2396846,PRJNA354385,stop1+Pi +M,28400510,stop1 mutant,Col-0,root tip,42719981,0.86,8/22/2017,110,Root,Root,Below
GSM2396847,PRJNA354385,almt1+Pi,28400510,almt1 mutant,Col-0,root tip,37564113,0.84,8/22/2017,110,Root,Root,Below
GSM2396848,PRJNA354385,almt1-Pi,28400510,almt1 mutant,Col-0,root tip,38900875,0.86,8/22/2017,110,Root,Root,Below
GSM2396849,PRJNA354385,almt1-Pi+M,28400510,almt1 mutant,Col-0,root tip,42775814,0.85,8/22/2017,110,Root,Root,Below
GSM2397037,PRJNA354373,MgCl2_rep1,28132837,Col-0,Col-0,seedlings,2486355,0.92,1/12/2017,,other,other,other
GSM2397038,PRJNA354373,DC3000_rep1,28132837,Col-0,Col-0,seedlings,5203272,0.92,1/12/2017,,other,other,other
GSM2397039,PRJNA354373,DC3000 cor- EV_rep1,28132837,Col-0,Col-0,seedlings,4463370,0.92,1/12/2017,,other,other,other
GSM2397040,PRJNA354373,DC3000 BB1_rep1,28132837,Col-0,Col-0,seedlings,2381961,0.93,1/12/2017,,other,other,other
GSM2397041,PRJNA354373,DC3000 mBB1_rep1,28132837,Col-0,Col-0,seedlings,4416083,0.92,1/12/2017,,other,other,other
GSM2397042,PRJNA354373,MgCl2_rep2,28132837,Col-0,Col-0,seedlings,4047565,0.91,1/12/2017,,other,other,other
GSM2397043,PRJNA354373,DC3000_rep2,28132837,Col-0,Col-0,seedlings,3779035,0.92,1/12/2017,,other,other,other
GSM2397044,PRJNA354373,DC3000 cor- EV_rep2,28132837,Col-0,Col-0,seedlings,3458947,0.92,1/12/2017,,other,other,other
GSM2397045,PRJNA354373,DC3000 BB1_rep2,28132837,Col-0,Col-0,seedlings,3299070,0.93,1/12/2017,,other,other,other
GSM2397046,PRJNA354373,DC3000 mBB1_rep2,28132837,Col-0,Col-0,seedlings,3386061,0.92,1/12/2017,,other,other,other
GSM2397047,PRJNA354373,MgCl2_rep3,28132837,Col-0,Col-0,seedlings,4631234,0.92,1/12/2017,,other,other,other
GSM2397048,PRJNA354373,DC3000_rep3,28132837,Col-0,Col-0,seedlings,2704523,0.92,1/12/2017,,other,other,other
GSM2397049,PRJNA354373,DC3000 cor- EV_rep3,28132837,Col-0,Col-0,seedlings,2878225,0.92,1/12/2017,,other,other,other
GSM2397050,PRJNA354373,DC3000 BB1_rep3,28132837,Col-0,Col-0,seedlings,3931584,0.92,1/12/2017,,other,other,other
GSM2397051,PRJNA354373,DC3000 mBB1_rep3,28132837,Col-0,Col-0,seedlings,3334127,0.92,1/12/2017,,other,other,other
GSM2397301,PRJNA354370,Col-0_mock_rep1,28132837,Col-0,Col-0,seedlings,5636869,0.92,1/12/2017,,other,other,other
GSM2397302,PRJNA354370,tcp14-6_mock_rep1,28132837,tcp14-6,Col-0,seedlings,3558829,0.91,1/12/2017,,other,other,other
GSM2397303,PRJNA354370,UBQ10::YFP-TCP14-3_mock_rep1,28132837,UBQ10,Col-0,seedlings,5388443,0.91,1/12/2017,,other,other,other
GSM2397304,PRJNA354370,coi1-16_mock_rep1,28132837,coi1-16,Col-0,seedlings,5177431,0.92,1/12/2017,,other,other,other
GSM2397305,PRJNA354370,Col-0_DC3000cor-_rep1,28132837,Col-0,Col-0,seedlings,3812438,0.92,1/12/2017,,other,other,other
GSM2397306,PRJNA354370,tcp14-6_DC3000cor-_rep1,28132837,tcp14-6,Col-0,seedlings,2164419,0.92,1/12/2017,,other,other,other
GSM2397307,PRJNA354370,UBQ10::YFP-TCP14-3_DC3000cor-_rep1,28132837,UBQ10,Col-0,seedlings,2838387,0.92,1/12/2017,,other,other,other
GSM2397308,PRJNA354370,coi1-16_DC3000cor-_rep1,28132837,coi1-16,Col-0,seedlings,5684785,0.92,1/12/2017,,other,other,other
GSM2397309,PRJNA354370,Col-0_mock_rep2,28132837,Col-0,Col-0,seedlings,3924899,0.92,1/12/2017,,other,other,other
GSM2397310,PRJNA354370,tcp14-6_mock_rep2,28132837,tcp14-6,Col-0,seedlings,4018521,0.92,1/12/2017,,other,other,other
GSM2397311,PRJNA354370,UBQ10::YFP-TCP14-3_mock_rep2,28132837,UBQ10,Col-0,seedlings,3718244,0.91,1/12/2017,,other,other,other
GSM2397312,PRJNA354370,coi1-16_mock_rep2,28132837,coi1-16,Col-0,seedlings,5219470,0.92,1/12/2017,,other,other,other
GSM2397313,PRJNA354370,Col-0_DC3000cor-_rep2,28132837,Col-0,Col-0,seedlings,7979193,0.92,1/12/2017,,other,other,other
GSM2397314,PRJNA354370,tcp14-6_DC3000cor-_rep2,28132837,tcp14-6,Col-0,seedlings,9999208,0.92,1/12/2017,,other,other,other
GSM2397315,PRJNA354370,UBQ10::YFP-TCP14-3_DC3000cor-_rep2,28132837,UBQ10,Col-0,seedlings,5961653,0.92,1/12/2017,,other,other,other
GSM2397316,PRJNA354370,coi1-16_DC3000cor-_rep2,28132837,coi1-16,Col-0,seedlings,7548691,0.92,1/12/2017,,other,other,other
GSM2397317,PRJNA354370,Col-0_mock_rep3,28132837,Col-0,Col-0,seedlings,6452771,0.92,1/12/2017,,other,other,other
GSM2397318,PRJNA354370,tcp14-6_mock_rep3,28132837,tcp14-6,Col-0,seedlings,7456889,0.91,1/12/2017,,other,other,other
GSM2397319,PRJNA354370,UBQ10::YFP-TCP14-3_mock_rep3,28132837,UBQ10,Col-0,seedlings,5960328,0.91,1/12/2017,,other,other,other
GSM2397320,PRJNA354370,coi1-16_mock_rep3,28132837,coi1-16,Col-0,seedlings,8867788,0.91,1/12/2017,,other,other,other
GSM2397321,PRJNA354370,Col-0_DC3000cor-_rep3,28132837,Col-0,Col-0,seedlings,6277701,0.93,1/12/2017,,other,other,other
GSM2397322,PRJNA354370,tcp14-6_DC3000cor-_rep3,28132837,tcp14-6,Col-0,seedlings,6554239,0.92,1/12/2017,,other,other,other
GSM2397323,PRJNA354370,UBQ10::YFP-TCP14-3_DC3000cor-_rep3,28132837,UBQ10,Col-0,seedlings,9430453,0.92,1/12/2017,,other,other,other
GSM2397324,PRJNA354370,coi1-16_DC3000cor-_rep3,28132837,coi1-16,Col-0,seedlings,8747678,0.92,1/12/2017,,other,other,other
GSM2397325,PRJNA354369,MeJA_1h_rep1,28132837,/,Col-0,seedlings,18480998,0.8,1/12/2017,,other,other,other
GSM2397326,PRJNA354369,MeJA_1h_rep2,28132837,/,Col-0,seedlings,12310269,0.9,1/12/2017,,other,other,other
GSM2397328,PRJNA354369,MeJA_5h_rep2,28132837,/,Col-0,seedlings,11480036,0.89,1/12/2017,,other,other,other
GSM2397330,PRJNA354369,MeJA_8h_rep2,28132837,/,Col-0,seedlings,7138765,0.89,1/12/2017,,other,other,other
GSM2397332,PRJNA354369,BTH_1h_rep2,28132837,/,Col-0,seedlings,8952851,0.89,1/12/2017,,other,other,other
GSM2397334,PRJNA354369,BTH_5h_rep2,28132837,/,Col-0,seedlings,9520137,0.89,1/12/2017,,other,other,other
GSM2397336,PRJNA354369,BTH_8h_rep2,28132837,/,Col-0,seedlings,7623016,0.9,1/12/2017,,other,other,other
GSM2397338,PRJNA354369,Mock_1h_rep2,28132837,/,Col-0,seedlings,7197271,0.88,1/12/2017,,other,other,other
GSM2397340,PRJNA354369,Mock_5h_rep2,28132837,/,Col-0,seedlings,3952647,0.88,1/12/2017,,other,other,other
GSM2397342,PRJNA354369,Mock_8h_rep2,28132837,/,Col-0,seedlings,7864081,0.89,1/12/2017,,other,other,other
GSM2397343,PRJNA354368,35S::HopBB1_rep1,28132837,35S::HopBB1-myc,Col-0,seedlings,8882549,0.91,1/12/2017,,other,other,other
GSM2397344,PRJNA354368,35S::HopBB1_rep2,28132837,35S::HopBB1-myc,Col-0,seedlings,8268990,0.91,1/12/2017,,other,other,other
GSM2397345,PRJNA354368,35S::HopBB1_rep3,28132837,35S::HopBB1-myc,Col-0,seedlings,8264622,0.91,1/12/2017,,other,other,other
GSM2397346,PRJNA354368,Col-0_rep1,28132837,Wild type,Col-0,seedlings,8419349,0.91,1/12/2017,,other,other,other
GSM2397347,PRJNA354368,Col-0_rep2,28132837,Wild type,Col-0,seedlings,7777914,0.92,1/12/2017,,other,other,other
GSM2397348,PRJNA354368,Col-0_rep3,28132837,Wild type,Col-0,seedlings,8857858,0.91,1/12/2017,,other,other,other
GSM2397400,PRJNA354408,Col-0 rep1,28132837,Wild type,Col-0,seedlings,2334572,0.92,1/12/2017,,other,other,other
GSM2397401,PRJNA354408,tcp14-6_rep1,28132837,tcp14-6,Col-0,seedlings,2378347,0.92,1/12/2017,,other,other,other
GSM2397402,PRJNA354408,tcp14-7_rep1,28132837,tcp14-7,Col-0,seedlings,1913984,0.91,1/12/2017,,other,other,other
GSM2397403,PRJNA354408,Col-0 rep2,28132837,Wild type,Col-0,seedlings,3843917,0.92,1/12/2017,,other,other,other
GSM2397404,PRJNA354408,tcp14-6_rep2,28132837,tcp14-6,Col-0,seedlings,3792144,0.92,1/12/2017,,other,other,other
GSM2397405,PRJNA354408,tcp14-7_rep2,28132837,tcp14-7,Col-0,seedlings,3272732,0.92,1/12/2017,,other,other,other
GSM2397406,PRJNA354408,Col-0 rep3,28132837,Wild type,Col-0,seedlings,4434823,0.92,1/12/2017,,other,other,other
GSM2397407,PRJNA354408,tcp14-6_rep3,28132837,tcp14-6,Col-0,seedlings,4905421,0.92,1/12/2017,,other,other,other
GSM2397408,PRJNA354408,tcp14-7_rep3,28132837,tcp14-7,Col-0,seedlings,3572402,0.92,1/12/2017,,other,other,other
GSM2397358,PRJNA354407,Col0_rep2,28132837,Wild type,Col-0,seedlings,4594301,0.89,1/12/2017,,other,other,other
GSM2397359,PRJNA354407,Col0_rep3,28132837,Wild type,Col-0,seedlings,6152753,0.87,1/12/2017,,other,other,other
GSM2397360,PRJNA354407,Col0_rep4,28132837,Wild type,Col-0,seedlings,20386264,0.92,1/12/2017,,other,other,other
GSM2397362,PRJNA354407,UBQ:TCP14-3_rep2,28132837,UBQ10,Col-0,seedlings,8658407,0.89,1/12/2017,,other,other,other
GSM2397363,PRJNA354407,UBQ:TCP14-3_rep3,28132837,UBQ10,Col-0,seedlings,5341492,0.87,1/12/2017,,other,other,other
