Sample,Project,SampleName,PMID,Genotype,Ecotype,Tissue,TotalReads,UniqueMappedRate,ReleaseDate
ERX1796992,PRJEB17880,SAMEA4545710,/,DCC1 mutant,Col-0,plant callus,24616587,94.40%,2018/5/8
ERX1796993,PRJEB17880,SAMEA4545711,/,DCC1 mutant,Col-0,plant callus,30408904,93.80%,2018/5/8
ERX1805957,PRJEB17995,E-MTAB-4262_2:R1_0mM_24h,/,/,Col-0,leaves,14065676,90.30%,2017/12/15
ERX1805958,PRJEB17995,E-MTAB-4262_2:R1_0mM_3h,/,/,Col-0,leaves,15912795,77.90%,2017/12/15
ERX1805959,PRJEB17995,E-MTAB-4262_2:R1_15mM_24h,/,/,Col-0,leaves,14941826,87.70%,2017/12/15
ERX1805960,PRJEB17995,E-MTAB-4262_2:R1_15mM_3h,/,/,Col-0,leaves,17553000,83.60%,2017/12/15
ERX1805961,PRJEB17995,E-MTAB-4262_2:R2_0mM_24h,/,/,Col-0,leaves,12872626,72.80%,2017/12/15
ERX1805962,PRJEB17995,E-MTAB-4262_2:R2_0mM_3h,/,/,Col-0,leaves,18157496,82.60%,2017/12/15
ERX1805963,PRJEB17995,E-MTAB-4262_2:R2_15mM_24h,/,/,Col-0,leaves,12644563,90.00%,2017/12/15
ERX1805964,PRJEB17995,E-MTAB-4262_2:R2_15mM_3h,/,/,Col-0,leaves,12837346,76.10%,2017/12/15
ERX1805965,PRJEB17995,E-MTAB-4262_2:R3_0mM_24h,/,/,Col-0,leaves,15417669,87.60%,2017/12/15
ERX1805966,PRJEB17995,E-MTAB-4262_2:R3_0mM_3h,/,/,Col-0,leaves,16048841,80.40%,2017/12/15
ERX1805967,PRJEB17995,E-MTAB-4262_2:R3_15mM_24h,/,/,Col-0,leaves,16482794,85.70%,2017/12/15
ERX1805968,PRJEB17995,E-MTAB-4262_2:R3_15mM_3h,/,/,Col-0,leaves,20937212,85.10%,2017/12/15
ERX1818960,PRJEB18487,CR1_s,/,Col-0,Col-0,rosette leaf,28449937,85.50%,2017/5/15
ERX1818961,PRJEB18487,CR3_s,/,Col-0,Col-0,rosette leaf,28858129,85.10%,2017/5/15
ERX1818962,PRJEB18487,CR4_s,/,Col-0,Col-0,rosette leaf,28986007,85.30%,2017/5/15
ERX1818963,PRJEB18487,SR1_s,/,Col-0,Col-0,rosette leaf,28680973,85.30%,2017/5/15
ERX1818964,PRJEB18487,SR3_s,/,Col-0,Col-0,rosette leaf,27144635,84.80%,2017/5/15
ERX1818965,PRJEB18487,SR4_s,/,Col-0,Col-0,rosette leaf,26133817,84.80%,2017/5/15
ERX1874916,PRJEB19242,E-MTAB-5446:Sample 2,/,wild type,Col-0,whole plant,95035353,77.50%,2019/2/14
ERX1874926,PRJEB19242,E-MTAB-5446:Sample 14,/,wild type,Col-0,whole plant,124180445,73.80%,2019/2/14
ERX1874930,PRJEB19242,E-MTAB-5446:Sample 16,/,wild type,Col-0,whole plant,111209624,69.50%,2019/2/14
ERX1874931,PRJEB19242,E-MTAB-5446:Sample 17,/,wild type,Col-0,whole plant,111062395,73.90%,2019/2/14
ERX1924864,PRJEB19779,WT Col,/,wild type,Col-0,flower bud,22485735,59.00%,2019/1/24
ERX1924865,PRJEB19779,WT Col,/,wild type,Col-0,flower bud,18534897,64.60%,2019/1/24
ERX1924866,PRJEB19779,WT Col,/,wild type,Col-0,flower bud,20283519,62.90%,2019/1/24
ERX1924867,PRJEB19779,et1_1 mutant,/,et1_1,/,flower bud,19511510,59.10%,2019/1/24
ERX1924868,PRJEB19779,et1_1 mutant,/,et1_1,/,flower bud,19014563,59.70%,2019/1/24
ERX1924869,PRJEB19779,et1_1 mutant,/,et1_1,/,flower bud,13662090,59.50%,2019/1/24
ERX1924870,PRJEB19779,et2_3 mutant,/,et2_3,/,flower bud,15160741,63.20%,2019/1/24
ERX1924871,PRJEB19779,et2_3 mutant,/,et2_3,/,flower bud,20426741,63.60%,2019/1/24
ERX1924872,PRJEB19779,et2_3 mutant,/,et2_3,/,flower bud,23324838,60.30%,2019/1/24
ERX1924873,PRJEB19779,et1_1/et2_3 mutant,/,et1_1/et2_3,/,flower bud,14710331,65.00%,2019/1/24
ERX1924874,PRJEB19779,et1_1/et2_3 mutant,/,et1_1/et2_3,/,flower bud,17833610,60.10%,2019/1/24
ERX1924875,PRJEB19779,et1_1/et2_3 mutant,/,et1_1/et2_3,/,flower bud,19773782,61.80%,2019/1/24
ERX1936694,PRJEB19862,Wild-type Col-0 rep1,/,wild type,Col-0,inflorescence,18264705,94.70%,2017/3/14
ERX1936695,PRJEB19862,Wild-type Col-0 rep2,/,wild type,Col-0,inflorescence,16674172,94.70%,2017/3/14
ERX1936696,PRJEB19862,Wild-type Col-0 rep3,/,wild type,Col-0,inflorescence,17143180,95.10%,2017/3/14
ERX1936697,PRJEB19862,Wild-type Col-0 +IAA rep1,/,wild type +IAA,Col-0,inflorescence,18455774,94.60%,2017/3/14
ERX1936698,PRJEB19862,Wild-type Col-0 +IAA rep2,/,wild type +IAA,Col-0,inflorescence,15594199,94.80%,2017/3/14
ERX1936699,PRJEB19862,Wild-type Col-0 +IAA rep3,/,wild type +IAA,Col-0,inflorescence,15812025,94.80%,2017/3/14
ERX1936700,PRJEB19862,ETT rep1,/,ETT,Col-0,inflorescence,16890053,93.30%,2017/3/14
ERX1936701,PRJEB19862,ETT rep2,/,ETT,Col-0,inflorescence,17769587,93.60%,2017/3/14
ERX1936702,PRJEB19862,ETT rep3,/,ETT,Col-0,inflorescence,17644825,93.50%,2017/3/14
ERX1936703,PRJEB19862,ETT +IAA rep1,/,ETT + IAA,Col-0,inflorescence,17080886,91.30%,2017/3/14
ERX1936704,PRJEB19862,ETT +IAA rep2,/,ETT + IAA,Col-0,inflorescence,17464258,93.40%,2017/3/14
ERX1936705,PRJEB19862,ETT +IAA rep3,/,ETT + IAA,Col-0,inflorescence,16494312,93.50%,2017/3/14
ERX1946678,PRJEB19974,SAMEA103918501,PMC5435985,/,Col-0,rosette leaf,19907062,95.20%,2018/7/4
ERX1946679,PRJEB19974,SAMEA103918502,PMC5435985,/,Col-0,rosette leaf,20196602,95.10%,2018/7/4
ERX1946680,PRJEB19974,SAMEA103918503,PMC5435985,/,Col-0,rosette leaf,18793638,95.20%,2018/7/4
ERX1946681,PRJEB19974,SAMEA103918504,PMC5435985,/,Col-0,rosette leaf,15229651,95.20%,2018/7/4
ERX1946682,PRJEB19974,SAMEA103918505,PMC5435985,/,Col-0,rosette leaf,18165504,95.30%,2018/7/4
ERX1946683,PRJEB19974,SAMEA103918506,PMC5435985,/,Col-0,rosette leaf,16144975,95.20%,2018/7/4
ERX1946684,PRJEB19974,SAMEA103918507,PMC5435985,/,Col-0,rosette leaf,24167416,95.30%,2018/7/4
ERX1946685,PRJEB19974,SAMEA103918508,PMC5435985,/,Col-0,rosette leaf,16154048,95.40%,2018/7/4
ERX1946686,PRJEB19974,SAMEA103918509,PMC5435985,/,Col-0,rosette leaf,16453985,95.10%,2018/7/4
ERX1946687,PRJEB19974,SAMEA103918510,PMC5435985,/,Col-0,rosette leaf,16422598,94.60%,2018/7/4
ERX1946688,PRJEB19974,SAMEA103918511,PMC5435985,/,Col-0,rosette leaf,17555521,94.80%,2018/7/4
ERX1946689,PRJEB19974,SAMEA103918512,PMC5435985,/,Col-0,rosette leaf,18629695,95.70%,2018/7/4
ERX1946690,PRJEB19974,SAMEA103918513,PMC5435985,/,Col-0,rosette leaf,16757418,95.80%,2018/7/4
ERX1946691,PRJEB19974,SAMEA103918514,PMC5435985,/,Col-0,rosette leaf,18690296,95.40%,2018/7/4
ERX1946692,PRJEB19974,SAMEA103918515,PMC5435985,/,Col-0,rosette leaf,20259120,95.80%,2018/7/4
ERX1946693,PRJEB19974,SAMEA103918516,PMC5435985,/,Col-0,rosette leaf,17787214,95.90%,2018/7/4
ERX1946694,PRJEB19974,SAMEA103918517,PMC5435985,/,Col-0,rosette leaf,24945068,95.40%,2018/7/4
ERX1946695,PRJEB19974,SAMEA103918518,PMC5435985,/,Col-0,rosette leaf,23024462,95.70%,2018/7/4
ERX1946696,PRJEB19974,SAMEA103918519,PMC5435985,/,Col-0,rosette leaf,17974142,95.30%,2018/7/4
ERX1946697,PRJEB19974,SAMEA103918520,PMC5435985,/,Col-0,rosette leaf,18530491,95.50%,2018/7/4
ERX1946698,PRJEB19974,SAMEA103918521,PMC5435985,/,Col-0,rosette leaf,21076264,95.50%,2018/7/4
ERX1946699,PRJEB19974,SAMEA103918522,PMC5435985,/,Col-0,rosette leaf,18465676,95.40%,2018/7/4
ERX1946700,PRJEB19974,SAMEA103918523,PMC5435985,/,Col-0,rosette leaf,21342271,95.50%,2018/7/4
ERX1946701,PRJEB19974,SAMEA103918524,PMC5435985,/,Col-0,rosette leaf,24066660,95.40%,2018/7/4
ERX1946702,PRJEB19974,SAMEA103918525,PMC5435985,/,Col-0,rosette leaf,21368523,95.60%,2018/7/4
ERX1946703,PRJEB19974,SAMEA103918526,PMC5435985,/,Col-0,rosette leaf,21023364,95.60%,2018/7/4
ERX1946704,PRJEB19974,SAMEA103918527,PMC5435985,/,Col-0,rosette leaf,20217782,94.60%,2018/7/4
ERX1946705,PRJEB19974,SAMEA103918528,PMC5435985,/,Col-0,rosette leaf,19898125,94.60%,2018/7/4
ERX1946706,PRJEB19974,SAMEA103918529,PMC5435985,/,Col-0,rosette leaf,16604387,94.80%,2018/7/4
ERX1946707,PRJEB19974,SAMEA103918530,PMC5435985,/,Col-0,rosette leaf,18043867,94.80%,2018/7/4
ERX1946708,PRJEB19974,SAMEA103918531,PMC5435985,/,Col-0,rosette leaf,18040837,95.20%,2018/7/4
ERX1946709,PRJEB19974,SAMEA103918532,PMC5435985,/,Col-0,rosette leaf,19195378,95.10%,2018/7/4
ERX1946710,PRJEB19974,SAMEA103918533,PMC5435985,/,Col-0,rosette leaf,16312472,95.50%,2018/7/4
ERX1946711,PRJEB19974,SAMEA103918534,PMC5435985,/,Col-0,rosette leaf,18856578,95.00%,2018/7/4
ERX1946712,PRJEB19974,SAMEA103918535,PMC5435985,/,Col-0,rosette leaf,17301770,94.90%,2018/7/4
ERX1946713,PRJEB19974,SAMEA103918536,PMC5435985,/,Col-0,rosette leaf,22992670,95.20%,2018/7/4
ERX1946714,PRJEB19974,SAMEA103918537,PMC5435985,/,Col-0,rosette leaf,20362603,95.10%,2018/7/4
ERX1946715,PRJEB19974,SAMEA103918538,PMC5435985,/,Col-0,rosette leaf,19612207,95.30%,2018/7/4
ERX1946716,PRJEB19974,SAMEA103918539,PMC5435985,/,Col-0,rosette leaf,21654728,95.00%,2018/7/4
ERX1946717,PRJEB19974,SAMEA103918540,PMC5435985,/,Col-0,rosette leaf,19511089,95.80%,2018/7/4
ERX1946718,PRJEB19974,SAMEA103918541,PMC5435985,/,Col-0,rosette leaf,21649365,95.20%,2018/7/4
ERX1946719,PRJEB19974,SAMEA103918542,PMC5435985,/,Col-0,rosette leaf,25276805,95.30%,2018/7/4
ERX1946720,PRJEB19974,SAMEA103918543,PMC5435985,/,Col-0,rosette leaf,20029373,95.30%,2018/7/4
ERX1946721,PRJEB19974,SAMEA103918544,PMC5435985,/,Col-0,rosette leaf,18228270,95.20%,2018/7/4
ERX1946722,PRJEB19974,SAMEA103918545,PMC5435985,/,Col-0,rosette leaf,18100413,94.90%,2018/7/4
ERX1946723,PRJEB19974,SAMEA103918546,PMC5435985,/,Col-0,rosette leaf,20628696,94.90%,2018/7/4
ERX1946724,PRJEB19974,SAMEA103918547,PMC5435985,/,Col-0,rosette leaf,21597933,94.60%,2018/7/4
ERX1946725,PRJEB19974,SAMEA103918548,PMC5435985,/,Col-0,rosette leaf,20548781,94.90%,2018/7/4
ERX1946726,PRJEB19974,SAMEA103918549,PMC5435985,/,Col-0,rosette leaf,22904728,95.30%,2018/7/4
ERX1946727,PRJEB19974,SAMEA103918550,PMC5435985,/,Col-0,rosette leaf,24964040,94.80%,2018/7/4
ERX1946728,PRJEB19974,SAMEA103918551,PMC5435985,/,Col-0,rosette leaf,20965852,94.70%,2018/7/4
ERX1946729,PRJEB19974,SAMEA103918552,PMC5435985,/,Col-0,rosette leaf,18951483,95.00%,2018/7/4
ERX1946730,PRJEB19974,SAMEA103918553,PMC5435985,/,Col-0,rosette leaf,21471315,94.90%,2018/7/4
ERX1946731,PRJEB19974,SAMEA103918554,PMC5435985,/,Col-0,rosette leaf,19575994,94.70%,2018/7/4
ERX1946732,PRJEB19974,SAMEA103918555,PMC5435985,/,Col-0,rosette leaf,21103545,95.00%,2018/7/4
ERX1946733,PRJEB19974,SAMEA103918556,PMC5435985,/,Col-0,rosette leaf,21685077,95.00%,2018/7/4
ERX1946734,PRJEB19974,SAMEA103918557,PMC5435985,/,Col-0,rosette leaf,23379149,95.10%,2018/7/4
ERX1946735,PRJEB19974,SAMEA103918558,PMC5435985,/,Col-0,rosette leaf,21290208,95.00%,2018/7/4
ERX1946736,PRJEB19974,SAMEA103918559,PMC5435985,/,Col-0,rosette leaf,20626026,95.10%,2018/7/4
ERX1946737,PRJEB19974,SAMEA103918560,PMC5435985,/,Col-0,rosette leaf,18486884,94.80%,2018/7/4
ERX1946738,PRJEB19974,SAMEA103918561,PMC5435985,/,Col-0,rosette leaf,17710559,95.00%,2018/7/4
ERX1946739,PRJEB19974,SAMEA103918562,PMC5435985,/,Col-0,rosette leaf,21045299,94.60%,2018/7/4
ERX1946740,PRJEB19974,SAMEA103918563,PMC5435985,/,Col-0,rosette leaf,25334495,95.30%,2018/7/4
ERX1946741,PRJEB19974,SAMEA103918564,PMC5435985,/,Col-0,rosette leaf,23578101,95.40%,2018/7/4
ERX1946742,PRJEB19974,SAMEA103918565,PMC5435985,/,Col-0,rosette leaf,26407758,95.00%,2018/7/4
ERX1946743,PRJEB19974,SAMEA103918566,PMC5435985,/,Col-0,rosette leaf,24349823,95.10%,2018/7/4
ERX1946744,PRJEB19974,SAMEA103918567,PMC5435985,/,Col-0,rosette leaf,23459333,94.80%,2018/7/4
ERX1946745,PRJEB19974,SAMEA103918568,PMC5435985,/,Col-0,rosette leaf,21460874,95.40%,2018/7/4
ERX1946746,PRJEB19974,SAMEA103918569,PMC5435985,/,Col-0,rosette leaf,21098580,95.10%,2018/7/4
ERX1946747,PRJEB19974,SAMEA103918570,PMC5435985,/,Col-0,rosette leaf,16911329,93.40%,2018/7/4
ERX1946748,PRJEB19974,SAMEA103918570,PMC5435985,/,Col-0,rosette leaf,16892199,93.20%,2018/7/4
ERX1946749,PRJEB19974,SAMEA103918570,PMC5435985,/,Col-0,rosette leaf,17110760,93.30%,2018/7/4
ERX1946750,PRJEB19974,SAMEA103918571,PMC5435985,/,Col-0,rosette leaf,16924533,95.00%,2018/7/4
ERX1946751,PRJEB19974,SAMEA103918571,PMC5435985,/,Col-0,rosette leaf,16885994,94.90%,2018/7/4
ERX1946752,PRJEB19974,SAMEA103918571,PMC5435985,/,Col-0,rosette leaf,17125549,94.90%,2018/7/4
ERX1946753,PRJEB19974,SAMEA103918572,PMC5435985,/,Col-0,rosette leaf,22829519,95.20%,2018/7/4
ERX1946754,PRJEB19974,SAMEA103918572,PMC5435985,/,Col-0,rosette leaf,22764688,95.10%,2018/7/4
ERX1946755,PRJEB19974,SAMEA103918572,PMC5435985,/,Col-0,rosette leaf,23061517,95.10%,2018/7/4
ERX1946756,PRJEB19974,SAMEA103918573,PMC5435985,/,Col-0,rosette leaf,25107587,95.30%,2018/7/4
ERX1946757,PRJEB19974,SAMEA103918573,PMC5435985,/,Col-0,rosette leaf,25030932,95.10%,2018/7/4
ERX1946758,PRJEB19974,SAMEA103918573,PMC5435985,/,Col-0,rosette leaf,25332472,95.20%,2018/7/4
ERX1946759,PRJEB19974,SAMEA103918574,PMC5435985,/,Col-0,rosette leaf,22777927,94.50%,2018/7/4
ERX1946760,PRJEB19974,SAMEA103918574,PMC5435985,/,Col-0,rosette leaf,22713533,94.40%,2018/7/4
ERX1946761,PRJEB19974,SAMEA103918574,PMC5435985,/,Col-0,rosette leaf,23033787,94.50%,2018/7/4
ERX1946762,PRJEB19974,SAMEA103918575,PMC5435985,/,Col-0,rosette leaf,16971585,95.80%,2018/7/4
ERX1946763,PRJEB19974,SAMEA103918575,PMC5435985,/,Col-0,rosette leaf,16917549,95.60%,2018/7/4
ERX1946764,PRJEB19974,SAMEA103918575,PMC5435985,/,Col-0,rosette leaf,17140519,95.70%,2018/7/4
ERX1946765,PRJEB19974,SAMEA103918576,PMC5435985,/,Col-0,rosette leaf,17653807,95.10%,2018/7/4
ERX1946766,PRJEB19974,SAMEA103918576,PMC5435985,/,Col-0,rosette leaf,17612521,95.00%,2018/7/4
ERX1946767,PRJEB19974,SAMEA103918576,PMC5435985,/,Col-0,rosette leaf,17776636,95.10%,2018/7/4
ERX1946768,PRJEB19974,SAMEA103918577,PMC5435985,/,Col-0,rosette leaf,22031756,95.10%,2018/7/4
ERX1946769,PRJEB19974,SAMEA103918577,PMC5435985,/,Col-0,rosette leaf,21964952,95.00%,2018/7/4
ERX1946770,PRJEB19974,SAMEA103918577,PMC5435985,/,Col-0,rosette leaf,22279352,95.10%,2018/7/4
ERX1946771,PRJEB19974,SAMEA103918578,PMC5435985,/,Col-0,rosette leaf,28570637,94.10%,2018/7/4
ERX1946772,PRJEB19974,SAMEA103918578,PMC5435985,/,Col-0,rosette leaf,28493233,94.00%,2018/7/4
ERX1946773,PRJEB19974,SAMEA103918578,PMC5435985,/,Col-0,rosette leaf,28838044,94.10%,2018/7/4
ERX1946774,PRJEB19974,SAMEA103918501,PMC5435985,/,Col-0,rosette leaf,18593947,94.20%,2018/7/4
ERX1946775,PRJEB19974,SAMEA103918502,PMC5435985,/,Col-0,rosette leaf,18812729,93.90%,2018/7/4
ERX1946776,PRJEB19974,SAMEA103918503,PMC5435985,/,Col-0,rosette leaf,17617776,94.10%,2018/7/4
ERX1946777,PRJEB19974,SAMEA103918504,PMC5435985,/,Col-0,rosette leaf,14281100,94.00%,2018/7/4
ERX1946778,PRJEB19974,SAMEA103918505,PMC5435985,/,Col-0,rosette leaf,17011640,94.20%,2018/7/4
ERX1946779,PRJEB19974,SAMEA103918506,PMC5435985,/,Col-0,rosette leaf,15032929,94.10%,2018/7/4
ERX1946780,PRJEB19974,SAMEA103918507,PMC5435985,/,Col-0,rosette leaf,22627952,94.00%,2018/7/4
ERX1946781,PRJEB19974,SAMEA103918508,PMC5435985,/,Col-0,rosette leaf,15089880,94.10%,2018/7/4
ERX1946782,PRJEB19974,SAMEA103918509,PMC5435985,/,Col-0,rosette leaf,15345656,94.00%,2018/7/4
ERX1946783,PRJEB19974,SAMEA103918510,PMC5435985,/,Col-0,rosette leaf,15561466,93.40%,2018/7/4
ERX1946784,PRJEB19974,SAMEA103918511,PMC5435985,/,Col-0,rosette leaf,16566090,93.90%,2018/7/4
ERX1946785,PRJEB19974,SAMEA103918512,PMC5435985,/,Col-0,rosette leaf,17535992,94.60%,2018/7/4
ERX1946786,PRJEB19974,SAMEA103918513,PMC5435985,/,Col-0,rosette leaf,15699835,94.80%,2018/7/4
ERX1946787,PRJEB19974,SAMEA103918514,PMC5435985,/,Col-0,rosette leaf,17644376,94.30%,2018/7/4
ERX1946788,PRJEB19974,SAMEA103918515,PMC5435985,/,Col-0,rosette leaf,19084214,94.50%,2018/7/4
ERX1946789,PRJEB19974,SAMEA103918516,PMC5435985,/,Col-0,rosette leaf,16854581,94.60%,2018/7/4
ERX1946790,PRJEB19974,SAMEA103918517,PMC5435985,/,Col-0,rosette leaf,23715784,94.20%,2018/7/4
ERX1946791,PRJEB19974,SAMEA103918518,PMC5435985,/,Col-0,rosette leaf,21785908,94.20%,2018/7/4
ERX1946792,PRJEB19974,SAMEA103918519,PMC5435985,/,Col-0,rosette leaf,17045222,93.70%,2018/7/4
ERX1946793,PRJEB19974,SAMEA103918520,PMC5435985,/,Col-0,rosette leaf,17662551,93.90%,2018/7/4
ERX1946794,PRJEB19974,SAMEA103918521,PMC5435985,/,Col-0,rosette leaf,20035503,93.90%,2018/7/4
ERX1946795,PRJEB19974,SAMEA103918522,PMC5435985,/,Col-0,rosette leaf,17576840,93.80%,2018/7/4
ERX1946796,PRJEB19974,SAMEA103918523,PMC5435985,/,Col-0,rosette leaf,20370000,93.90%,2018/7/4
ERX1946797,PRJEB19974,SAMEA103918524,PMC5435985,/,Col-0,rosette leaf,23099214,93.70%,2018/7/4
ERX1946798,PRJEB19974,SAMEA103918525,PMC5435985,/,Col-0,rosette leaf,20412189,93.90%,2018/7/4
ERX1946799,PRJEB19974,SAMEA103918526,PMC5435985,/,Col-0,rosette leaf,19971927,93.90%,2018/7/4
ERX1946800,PRJEB19974,SAMEA103918527,PMC5435985,/,Col-0,rosette leaf,20122143,92.30%,2018/7/4
ERX1946801,PRJEB19974,SAMEA103918528,PMC5435985,/,Col-0,rosette leaf,19261773,92.30%,2018/7/4
ERX1946802,PRJEB19974,SAMEA103918529,PMC5435985,/,Col-0,rosette leaf,16359083,92.30%,2018/7/4
ERX1946803,PRJEB19974,SAMEA103918530,PMC5435985,/,Col-0,rosette leaf,17359444,92.50%,2018/7/4
ERX1946804,PRJEB19974,SAMEA103918531,PMC5435985,/,Col-0,rosette leaf,17955031,92.60%,2018/7/4
ERX1946805,PRJEB19974,SAMEA103918532,PMC5435985,/,Col-0,rosette leaf,18948776,92.70%,2018/7/4
ERX1946806,PRJEB19974,SAMEA103918533,PMC5435985,/,Col-0,rosette leaf,15995153,92.90%,2018/7/4
ERX1946807,PRJEB19974,SAMEA103918534,PMC5435985,/,Col-0,rosette leaf,18817077,92.70%,2018/7/4
ERX1946808,PRJEB19974,SAMEA103918535,PMC5435985,/,Col-0,rosette leaf,17430652,92.40%,2018/7/4
ERX1946809,PRJEB19974,SAMEA103918536,PMC5435985,/,Col-0,rosette leaf,22335142,93.60%,2018/7/4
ERX1946810,PRJEB19974,SAMEA103918537,PMC5435985,/,Col-0,rosette leaf,19266669,93.50%,2018/7/4
ERX1946811,PRJEB19974,SAMEA103918538,PMC5435985,/,Col-0,rosette leaf,19018321,93.80%,2018/7/4
ERX1946812,PRJEB19974,SAMEA103918539,PMC5435985,/,Col-0,rosette leaf,21108832,93.40%,2018/7/4
ERX1946813,PRJEB19974,SAMEA103918540,PMC5435985,/,Col-0,rosette leaf,19038034,94.10%,2018/7/4
ERX1946814,PRJEB19974,SAMEA103918541,PMC5435985,/,Col-0,rosette leaf,21212130,93.50%,2018/7/4
ERX1946815,PRJEB19974,SAMEA103918542,PMC5435985,/,Col-0,rosette leaf,24877445,93.50%,2018/7/4
ERX1946816,PRJEB19974,SAMEA103918543,PMC5435985,/,Col-0,rosette leaf,19573093,93.60%,2018/7/4
ERX1946817,PRJEB19974,SAMEA103918544,PMC5435985,/,Col-0,rosette leaf,17321584,94.00%,2018/7/4
ERX1946818,PRJEB19974,SAMEA103918545,PMC5435985,/,Col-0,rosette leaf,17198814,93.70%,2018/7/4
ERX1946819,PRJEB19974,SAMEA103918546,PMC5435985,/,Col-0,rosette leaf,19517043,93.70%,2018/7/4
ERX1946820,PRJEB19974,SAMEA103918547,PMC5435985,/,Col-0,rosette leaf,20253101,93.40%,2018/7/4
ERX1946821,PRJEB19974,SAMEA103918548,PMC5435985,/,Col-0,rosette leaf,19399246,93.70%,2018/7/4
ERX1946822,PRJEB19974,SAMEA103918549,PMC5435985,/,Col-0,rosette leaf,21722701,94.10%,2018/7/4
ERX1946823,PRJEB19974,SAMEA103918550,PMC5435985,/,Col-0,rosette leaf,23586499,93.60%,2018/7/4
ERX1946824,PRJEB19974,SAMEA103918551,PMC5435985,/,Col-0,rosette leaf,19871100,93.60%,2018/7/4
ERX1946825,PRJEB19974,SAMEA103918552,PMC5435985,/,Col-0,rosette leaf,17987534,93.80%,2018/7/4
ERX1946826,PRJEB19974,SAMEA103918553,PMC5435985,/,Col-0,rosette leaf,20437344,93.90%,2018/7/4
ERX1946827,PRJEB19974,SAMEA103918554,PMC5435985,/,Col-0,rosette leaf,18396519,93.60%,2018/7/4
ERX1946828,PRJEB19974,SAMEA103918555,PMC5435985,/,Col-0,rosette leaf,20125441,93.80%,2018/7/4
ERX1946829,PRJEB19974,SAMEA103918556,PMC5435985,/,Col-0,rosette leaf,20709075,93.80%,2018/7/4
ERX1946830,PRJEB19974,SAMEA103918557,PMC5435985,/,Col-0,rosette leaf,22391194,94.00%,2018/7/4
ERX1946831,PRJEB19974,SAMEA103918558,PMC5435985,/,Col-0,rosette leaf,20397387,93.80%,2018/7/4
ERX1946832,PRJEB19974,SAMEA103918559,PMC5435985,/,Col-0,rosette leaf,19917557,93.80%,2018/7/4
ERX1946833,PRJEB19974,SAMEA103918560,PMC5435985,/,Col-0,rosette leaf,17759757,93.60%,2018/7/4
ERX1946834,PRJEB19974,SAMEA103918561,PMC5435985,/,Col-0,rosette leaf,16869068,93.90%,2018/7/4
ERX1946835,PRJEB19974,SAMEA103918562,PMC5435985,/,Col-0,rosette leaf,20397648,93.20%,2018/7/4
ERX1946836,PRJEB19974,SAMEA103918563,PMC5435985,/,Col-0,rosette leaf,24432737,93.90%,2018/7/4
ERX1946837,PRJEB19974,SAMEA103918564,PMC5435985,/,Col-0,rosette leaf,22795853,94.10%,2018/7/4
ERX1946838,PRJEB19974,SAMEA103918565,PMC5435985,/,Col-0,rosette leaf,25407905,93.60%,2018/7/4
ERX1946839,PRJEB19974,SAMEA103918566,PMC5435985,/,Col-0,rosette leaf,23461279,93.70%,2018/7/4
ERX1946840,PRJEB19974,SAMEA103918567,PMC5435985,/,Col-0,rosette leaf,22684820,93.40%,2018/7/4
ERX1946841,PRJEB19974,SAMEA103918568,PMC5435985,/,Col-0,rosette leaf,20622195,93.90%,2018/7/4
ERX1946842,PRJEB19974,SAMEA103918569,PMC5435985,/,Col-0,rosette leaf,20311352,93.80%,2018/7/4
ERX1946843,PRJEB19974,SAMEA103918501,PMC5435985,/,Col-0,rosette leaf,20853995,95.60%,2018/7/4
ERX1946844,PRJEB19974,SAMEA103918502,PMC5435985,/,Col-0,rosette leaf,20227543,95.50%,2018/7/4
ERX1946845,PRJEB19974,SAMEA103918503,PMC5435985,/,Col-0,rosette leaf,19710690,95.60%,2018/7/4
ERX1946846,PRJEB19974,SAMEA103918504,PMC5435985,/,Col-0,rosette leaf,16247578,95.60%,2018/7/4
ERX1946847,PRJEB19974,SAMEA103918505,PMC5435985,/,Col-0,rosette leaf,19295061,95.70%,2018/7/4
ERX1946848,PRJEB19974,SAMEA103918506,PMC5435985,/,Col-0,rosette leaf,17109733,95.60%,2018/7/4
ERX1946849,PRJEB19974,SAMEA103918507,PMC5435985,/,Col-0,rosette leaf,25578424,95.70%,2018/7/4
ERX1946850,PRJEB19974,SAMEA103918508,PMC5435985,/,Col-0,rosette leaf,17313301,95.80%,2018/7/4
ERX1946851,PRJEB19974,SAMEA103918509,PMC5435985,/,Col-0,rosette leaf,17235504,95.40%,2018/7/4
ERX1946852,PRJEB19974,SAMEA103918510,PMC5435985,/,Col-0,rosette leaf,17642877,94.80%,2018/7/4
ERX1946853,PRJEB19974,SAMEA103918511,PMC5435985,/,Col-0,rosette leaf,18682329,95.20%,2018/7/4
ERX1946854,PRJEB19974,SAMEA103918512,PMC5435985,/,Col-0,rosette leaf,20046827,96.00%,2018/7/4
ERX1946855,PRJEB19974,SAMEA103918513,PMC5435985,/,Col-0,rosette leaf,17887670,96.10%,2018/7/4
ERX1946856,PRJEB19974,SAMEA103918514,PMC5435985,/,Col-0,rosette leaf,20535358,95.70%,2018/7/4
ERX1946857,PRJEB19974,SAMEA103918515,PMC5435985,/,Col-0,rosette leaf,21557258,96.10%,2018/7/4
